Serial,Gas_Concentration(ppm),Temperature(°C),Pressure(psi),Thermal_Gradient(°C/m),Acoustic_Amplitude(dB),Acoustic_Frequency(Hz),Flow_Rate(L/min),Segment,Leak_Type,Leak_Status
7745,0.58,25.16,100.44,0.04,9.02,51.87,60.9,5,Non-Leak,0
7746,1163.68,18.57,59.07,2.78,75.86,774.31,44.09,6,Large,1
7747,0.81,25.73,100.9,0.07,9.5,50.9,60.85,7,Non-Leak,0
7748,166.55,22.6,83.85,0.85,32.51,313.15,55.7,8,Small,1
7749,0.3,24.78,100.3,0.03,9.36,55.85,60.81,9,Non-Leak,0
7750,716.45,21.07,76.48,1.69,51.49,648.43,52.62,10,Medium,1
7751,0.59,25.58,100.36,0.07,9.29,52.4,60.73,11,Non-Leak,0
7752,1005.98,18.27,59.88,2.6,74.27,786.43,44.65,12,Large,1
7753,0.77,24.99,100.94,0.07,10.21,54.45,60.95,1,Non-Leak,0
7754,188.12,22.71,83.95,0.73,30.28,355.63,54.25,2,Small,1
7755,0.67,25.42,100.89,0.06,10.78,57.3,60.94,3,Non-Leak,0
7756,670.23,21.16,77.93,1.79,50.42,609.74,53.01,4,Medium,1
7757,0.6,24.82,100.89,0.06,10.08,50.01,60.83,5,Non-Leak,0
7758,1198.03,18.35,60.6,2.46,73.42,844.41,44.75,6,Large,1
7759,0.79,25.1,100.27,0.06,10.48,58.49,61.01,7,Non-Leak,0
7760,151.39,22.75,83.92,0.87,31.37,329.02,54.65,8,Small,1
7761,0.38,25.6,100.03,0.04,9.72,50.47,61.09,9,Non-Leak,0
7762,713.81,21.53,75.58,1.54,50.18,645.74,53.09,10,Medium,1
7763,0.78,25.59,100.85,0.06,9.43,53.04,61.06,11,Non-Leak,0
7764,1120.02,18.69,61.09,2.65,72.53,779.03,45.23,12,Large,1
7765,0.75,25.16,100.97,0.05,9.12,54.21,60.85,1,Non-Leak,0
7766,169.1,22.9,84.85,0.77,33.7,317.17,55.66,2,Small,1
7767,0.56,24.99,100.9,0.05,9.26,52.64,61.03,3,Non-Leak,0
7768,716.55,21.0,77.45,1.59,50.07,608.99,52.91,4,Medium,1
7769,0.38,25.39,100.82,0.06,10.46,58.73,60.89,5,Non-Leak,0
7770,1057.92,19.63,60.23,2.65,74.36,816.14,45.32,6,Large,1
7771,0.61,25.71,100.93,0.06,10.9,55.83,60.81,7,Non-Leak,0
7772,188.52,22.46,84.49,0.78,32.6,345.86,55.37,8,Small,1
7773,0.58,25.59,100.75,0.05,10.28,51.97,61.05,9,Non-Leak,0
7774,685.39,20.94,75.28,1.65,51.59,600.1,53.23,10,Medium,1
7775,0.54,24.8,100.37,0.03,10.14,50.85,61.02,11,Non-Leak,0
7776,1104.78,19.8,60.97,2.79,73.41,832.05,45.52,12,Large,1
7777,0.8,25.46,100.05,0.04,10.26,53.5,60.9,1,Non-Leak,0
7778,170.98,22.7,83.13,0.87,33.05,316.76,55.43,2,Small,1
7779,0.74,25.88,100.55,0.04,10.97,51.31,61.03,3,Non-Leak,0
7780,680.55,20.97,76.98,1.74,51.09,612.18,52.5,4,Medium,1
7781,0.48,24.82,100.01,0.05,9.5,54.56,60.81,5,Non-Leak,0
7782,1173.06,19.76,60.63,2.73,72.36,789.56,44.8,6,Large,1
7783,0.64,24.78,100.72,0.07,10.84,59.12,60.74,7,Non-Leak,0
7784,179.35,22.58,83.48,0.72,34.25,356.58,54.18,8,Small,1
7785,0.77,25.17,100.02,0.06,10.19,52.71,60.82,9,Non-Leak,0
7786,658.92,21.47,77.77,1.55,51.31,641.5,52.77,10,Medium,1
7787,0.54,25.22,100.93,0.07,9.38,58.72,60.98,11,Non-Leak,0
7788,1089.59,18.47,60.63,2.5,72.12,786.34,45.13,12,Large,1
7789,0.44,24.84,100.52,0.06,9.87,59.04,61.1,1,Non-Leak,0
7790,169.16,22.87,84.61,0.85,34.13,312.18,55.16,2,Small,1
7791,0.35,25.62,100.18,0.04,10.72,57.38,61.05,3,Non-Leak,0
7792,684.54,20.61,75.28,1.65,50.65,608.38,52.74,4,Medium,1
7793,0.63,25.47,100.69,0.06,10.0,54.81,60.88,5,Non-Leak,0
7794,1164.44,19.31,60.51,2.38,72.12,792.45,45.71,6,Large,1
7795,0.49,25.58,100.69,0.05,10.7,58.25,60.86,7,Non-Leak,0
7796,194.46,22.95,83.84,0.75,33.55,319.16,54.77,8,Small,1
7797,0.86,25.21,100.23,0.05,9.99,59.99,61.02,9,Non-Leak,0
7798,718.37,21.46,77.87,1.68,50.64,610.26,52.97,10,Medium,1
7799,0.85,24.87,100.65,0.05,10.37,58.02,61.05,11,Non-Leak,0
7800,1128.87,18.08,60.27,2.47,75.43,794.06,45.65,12,Large,1
7801,0.86,24.99,100.51,0.04,10.45,57.8,61.07,1,Non-Leak,0
7802,185.09,22.43,84.87,0.71,34.75,359.95,54.71,2,Small,1
7803,0.8,25.35,100.92,0.07,11.0,57.6,61.08,3,Non-Leak,0
7804,692.01,21.3,76.19,1.79,51.14,603.6,52.09,4,Medium,1
7805,0.78,25.14,100.22,0.06,10.86,57.0,60.74,5,Non-Leak,0
7806,1174.0,18.88,61.08,2.31,74.21,817.01,44.3,6,Large,1
7807,0.65,25.67,100.65,0.05,10.5,57.08,60.89,7,Non-Leak,0
7808,178.12,22.48,84.24,0.82,32.37,351.43,54.17,8,Small,1
7809,0.86,25.56,100.4,0.06,9.21,56.86,60.76,9,Non-Leak,0
7810,666.74,21.28,77.5,1.71,50.04,608.47,52.3,10,Medium,1
7811,0.8,25.08,100.41,0.03,10.39,51.53,60.74,11,Non-Leak,0
7812,1086.23,19.11,59.83,2.76,72.85,825.0,45.41,12,Large,1
7813,0.33,25.06,100.49,0.04,9.14,52.55,61.07,1,Non-Leak,0
7814,160.19,22.73,83.77,0.73,32.35,346.38,55.47,2,Small,1
7815,0.38,25.13,100.44,0.06,10.77,54.53,60.78,3,Non-Leak,0
7816,654.21,21.4,75.24,1.51,50.07,607.89,52.32,4,Medium,1
7817,0.87,25.11,100.56,0.04,10.48,53.72,60.82,5,Non-Leak,0
7818,1061.04,19.46,61.31,2.31,72.01,778.07,44.33,6,Large,1
7819,0.63,24.85,100.5,0.05,10.57,56.78,60.74,7,Non-Leak,0
7820,179.62,22.63,83.32,0.75,32.52,351.45,54.99,8,Small,1
7821,0.33,25.05,100.44,0.06,9.42,53.56,60.7,9,Non-Leak,0
7822,670.52,21.53,75.45,1.66,50.83,617.01,53.4,10,Medium,1
7823,0.68,25.6,100.25,0.04,10.24,56.69,61.09,11,Non-Leak,0
7824,1104.11,19.26,61.87,2.75,73.66,826.88,45.66,12,Large,1
7825,0.68,24.73,100.49,0.04,9.04,55.94,60.94,1,Non-Leak,0
7826,183.07,22.9,83.63,0.72,31.68,335.35,54.39,2,Small,1
7827,0.85,25.39,100.8,0.04,9.89,59.82,60.81,3,Non-Leak,0
7828,662.68,21.07,76.13,1.77,50.23,604.89,52.6,4,Medium,1
7829,0.33,25.77,100.11,0.05,10.14,56.39,60.74,5,Non-Leak,0
7830,1151.03,18.84,60.94,2.42,75.86,828.23,45.85,6,Large,1
7831,0.7,25.82,100.31,0.06,10.73,51.63,60.81,7,Non-Leak,0
7832,184.56,22.72,84.07,0.87,31.8,338.29,55.83,8,Small,1
7833,0.73,24.83,100.35,0.05,9.54,59.11,60.82,9,Non-Leak,0
7834,658.25,21.3,75.85,1.56,51.53,647.67,52.54,10,Medium,1
7835,0.56,24.88,100.36,0.07,9.62,51.91,60.98,11,Non-Leak,0
7836,1070.1,19.23,61.93,2.7,73.43,826.52,45.93,12,Large,1
7837,0.85,24.79,100.29,0.04,9.47,52.19,60.81,1,Non-Leak,0
7838,152.11,22.74,83.78,0.73,34.14,314.79,55.17,2,Small,1
7839,0.75,25.34,100.96,0.04,10.21,53.47,60.87,3,Non-Leak,0
7840,681.42,21.02,77.6,1.7,50.61,635.85,52.46,4,Medium,1
7841,0.75,24.77,100.15,0.06,10.36,50.99,60.75,5,Non-Leak,0
7842,1093.21,18.25,60.52,2.34,74.6,848.14,45.13,6,Large,1
7843,0.82,25.42,100.5,0.05,10.88,57.77,60.74,7,Non-Leak,0
7844,199.59,22.4,83.91,0.77,34.68,334.55,54.99,8,Small,1
7845,0.31,24.81,100.03,0.04,10.61,52.45,60.87,9,Non-Leak,0
7846,684.79,20.73,77.15,1.63,51.82,631.56,52.42,10,Medium,1
7847,0.35,25.5,100.89,0.05,9.34,57.1,60.99,11,Non-Leak,0
7848,1023.4,18.22,60.3,2.62,73.81,846.1,44.66,12,Large,1
7849,0.68,25.14,100.65,0.06,9.03,57.31,60.79,1,Non-Leak,0
7850,161.83,22.23,84.95,0.8,30.78,339.69,55.34,2,Small,1
7851,0.68,24.71,100.35,0.04,9.03,53.73,60.9,3,Non-Leak,0
7852,697.26,21.04,75.09,1.67,51.34,617.57,52.62,4,Medium,1
7853,0.82,25.86,100.09,0.06,9.2,52.73,60.8,5,Non-Leak,0
7854,1023.61,18.04,59.45,2.58,75.97,778.73,45.88,6,Large,1
7855,0.44,25.73,100.29,0.05,10.28,50.83,60.93,7,Non-Leak,0
7856,171.58,22.6,84.77,0.84,34.14,326.48,55.42,8,Small,1
7857,0.46,24.86,100.2,0.05,9.38,50.45,60.75,9,Non-Leak,0
7858,670.17,20.63,76.85,1.59,50.66,638.53,52.57,10,Medium,1
7859,0.73,25.23,100.55,0.04,9.26,59.42,60.86,11,Non-Leak,0
7860,1065.81,18.71,61.63,2.62,72.88,846.83,43.67,12,Large,1
7861,0.39,25.86,100.57,0.04,10.2,50.64,60.87,1,Non-Leak,0
7862,172.63,22.61,84.93,0.77,32.87,318.06,55.62,2,Small,1
7863,0.38,25.8,100.2,0.07,10.83,52.49,60.88,3,Non-Leak,0
7864,712.69,20.69,77.76,1.65,50.18,610.89,52.91,4,Medium,1
7865,0.48,24.77,100.12,0.03,9.41,50.42,60.71,5,Non-Leak,0
7866,1070.37,18.77,60.97,2.7,74.15,802.66,44.93,6,Large,1
7867,0.67,25.28,100.32,0.07,10.44,57.07,61.08,7,Non-Leak,0
7868,159.17,22.59,84.07,0.81,34.93,313.78,55.02,8,Small,1
7869,0.8,25.12,100.41,0.04,9.04,59.34,60.82,9,Non-Leak,0
7870,663.83,21.59,77.24,1.56,51.8,627.35,52.02,10,Medium,1
7871,0.32,25.53,100.26,0.06,10.1,51.29,60.96,11,Non-Leak,0
7872,1115.83,19.44,61.4,2.32,75.1,796.33,45.66,12,Large,1
7873,0.47,25.06,100.16,0.04,10.0,50.35,61.02,1,Non-Leak,0
7874,176.22,22.39,83.46,0.83,33.16,336.09,55.96,2,Small,1
7875,0.61,25.52,100.67,0.07,9.14,57.22,60.7,3,Non-Leak,0
7876,674.38,21.6,75.89,1.5,50.77,623.9,52.63,4,Medium,1
7877,0.56,25.45,100.88,0.06,10.75,53.12,60.94,5,Non-Leak,0
7878,1188.84,18.64,59.81,2.57,73.65,773.4,44.16,6,Large,1
7879,0.8,24.94,100.93,0.05,10.58,50.11,61.02,7,Non-Leak,0
7880,181.71,22.43,83.5,0.88,31.84,315.19,54.8,8,Small,1
7881,0.66,25.57,100.24,0.07,9.0,50.4,61.01,9,Non-Leak,0
7882,715.69,20.66,75.62,1.51,50.82,634.32,53.09,10,Medium,1
7883,0.39,25.41,100.25,0.06,10.26,53.71,60.92,11,Non-Leak,0
7884,1198.72,19.34,60.81,2.67,73.17,822.39,45.75,12,Large,1
7885,0.88,25.14,100.28,0.04,10.69,52.27,60.93,1,Non-Leak,0
7886,160.48,22.7,83.28,0.83,30.6,334.77,55.51,2,Small,1
7887,0.49,25.12,100.68,0.04,10.47,51.1,60.83,3,Non-Leak,0
7888,652.41,20.61,75.59,1.51,50.35,649.74,53.43,4,Medium,1
7889,0.32,25.7,100.53,0.07,10.39,59.62,60.76,5,Non-Leak,0
7890,1060.81,18.76,59.87,2.34,72.03,786.81,45.17,6,Large,1
7891,0.47,25.25,100.41,0.03,9.47,53.21,60.72,7,Non-Leak,0
7892,156.42,22.78,84.76,0.7,32.83,339.41,55.14,8,Small,1
7893,0.57,25.37,100.89,0.05,10.25,53.16,60.87,9,Non-Leak,0
7894,652.32,21.04,77.63,1.68,51.56,621.54,53.09,10,Medium,1
7895,0.52,25.35,100.02,0.03,10.87,50.02,60.79,11,Non-Leak,0
7896,1154.23,19.02,61.8,2.33,74.9,819.53,44.98,12,Large,1
7897,0.77,25.78,100.15,0.05,10.9,53.57,60.89,1,Non-Leak,0
7898,179.32,22.27,84.24,0.85,31.69,316.3,54.33,2,Small,1
7899,0.65,24.9,100.21,0.04,10.14,51.24,60.92,3,Non-Leak,0
7900,702.47,21.23,75.27,1.74,50.87,624.45,52.14,4,Medium,1
7901,0.79,25.61,100.67,0.04,9.85,54.16,61.03,5,Non-Leak,0
7902,1040.52,18.49,59.7,2.3,75.69,777.1,43.99,6,Large,1
7903,0.66,25.05,100.32,0.06,10.46,50.44,60.72,7,Non-Leak,0
7904,197.28,22.93,83.24,0.73,34.07,326.46,55.32,8,Small,1
7905,0.79,24.92,100.51,0.05,9.84,50.37,60.75,9,Non-Leak,0
7906,717.42,20.64,75.72,1.64,50.17,616.42,52.82,10,Medium,1
7907,0.6,24.81,100.23,0.05,10.35,55.75,60.91,11,Non-Leak,0
7908,1187.45,19.0,59.17,2.6,74.16,770.03,45.27,12,Large,1
7909,0.57,25.35,100.89,0.05,9.71,50.52,60.83,1,Non-Leak,0
7910,188.53,22.47,83.72,0.78,30.25,349.36,54.6,2,Small,1
7911,0.35,25.19,100.41,0.04,9.1,56.32,60.84,3,Non-Leak,0
7912,658.55,20.62,76.49,1.54,51.74,626.5,52.47,4,Medium,1
7913,0.53,25.89,100.92,0.05,9.67,54.11,60.9,5,Non-Leak,0
7914,1215.6,18.44,61.67,2.77,75.47,801.04,44.83,6,Large,1
7915,0.51,24.91,100.84,0.04,9.15,59.89,60.88,7,Non-Leak,0
7916,181.52,22.97,83.56,0.87,30.07,351.43,54.96,8,Small,1
7917,0.75,25.77,100.67,0.06,10.57,50.06,60.93,9,Non-Leak,0
7918,661.03,21.08,75.05,1.54,51.28,636.72,53.29,10,Medium,1
7919,0.82,25.67,100.6,0.06,9.47,52.45,61.07,11,Non-Leak,0
7920,1119.68,19.51,61.05,2.43,75.11,790.1,45.72,12,Large,1
7921,0.81,25.37,100.89,0.06,9.23,50.75,60.71,1,Non-Leak,0
7922,178.94,22.37,83.72,0.83,34.53,332.22,55.84,2,Small,1
7923,0.47,25.61,100.28,0.07,10.28,51.89,60.94,3,Non-Leak,0
7924,667.11,21.31,75.25,1.75,51.24,624.21,53.14,4,Medium,1
7925,0.85,25.03,100.33,0.05,9.02,58.49,60.9,5,Non-Leak,0
7926,1163.78,18.96,60.22,2.54,73.92,821.49,44.42,6,Large,1
7927,0.8,25.76,100.98,0.06,9.75,58.58,61.03,7,Non-Leak,0
7928,173.42,22.4,84.89,0.75,30.91,332.02,55.04,8,Small,1
7929,0.42,25.86,100.78,0.04,10.62,58.19,60.84,9,Non-Leak,0
7930,703.04,21.34,75.07,1.5,50.2,630.64,53.21,10,Medium,1
7931,0.78,25.28,100.56,0.04,9.66,51.22,60.8,11,Non-Leak,0
7932,1158.25,19.19,59.35,2.38,75.87,848.77,45.33,12,Large,1
7933,0.41,25.52,100.41,0.07,9.81,58.38,60.89,1,Non-Leak,0
7934,193.75,22.85,83.56,0.84,34.89,315.95,54.56,2,Small,1
7935,0.72,25.17,100.43,0.04,10.2,58.84,60.84,3,Non-Leak,0
7936,712.58,21.48,75.05,1.73,50.78,619.78,52.28,4,Medium,1
7937,0.58,25.48,100.84,0.07,9.57,50.98,60.77,5,Non-Leak,0
7938,1177.76,18.93,59.45,2.41,73.35,849.52,44.48,6,Large,1
7939,0.35,24.8,100.99,0.05,10.15,56.86,60.79,7,Non-Leak,0
7940,166.83,22.83,84.72,0.71,32.81,334.42,54.79,8,Small,1
7941,0.49,25.21,100.13,0.05,9.37,59.45,60.85,9,Non-Leak,0
7942,654.45,20.67,76.81,1.74,50.96,642.88,52.54,10,Medium,1
7943,0.83,24.86,100.23,0.06,10.09,57.12,61.05,11,Non-Leak,0
7944,1172.45,19.27,60.04,2.33,73.07,783.45,43.62,12,Large,1
7945,0.75,25.01,100.31,0.05,9.01,55.61,60.9,1,Non-Leak,0
7946,151.48,22.58,84.64,0.75,32.03,310.33,55.3,2,Small,1
7947,0.7,25.11,100.72,0.04,9.31,59.25,60.94,3,Non-Leak,0
7948,714.89,21.09,75.69,1.8,50.53,625.87,53.16,4,Medium,1
7949,0.58,25.84,100.91,0.05,10.82,54.64,61.1,5,Non-Leak,0
7950,1217.92,19.76,60.37,2.67,74.0,841.6,44.94,6,Large,1
7951,0.56,25.03,100.5,0.07,9.17,58.84,60.71,7,Non-Leak,0
7952,151.16,22.58,84.9,0.76,32.09,322.57,55.98,8,Small,1
7953,0.38,24.83,100.23,0.07,9.1,54.64,61.04,9,Non-Leak,0
7954,652.45,21.25,75.04,1.53,50.15,613.76,52.09,10,Medium,1
7955,0.6,25.13,100.24,0.07,9.34,52.42,61.09,11,Non-Leak,0
7956,1119.67,18.98,60.3,2.74,72.14,840.0,45.69,12,Large,1
7957,0.42,25.51,100.88,0.05,9.77,57.9,61.09,1,Non-Leak,0
7958,153.0,22.26,83.7,0.83,31.33,347.46,54.93,2,Small,1
7959,0.66,25.24,100.42,0.05,10.69,53.21,61.1,3,Non-Leak,0
7960,713.81,21.43,75.8,1.5,51.7,626.06,53.28,4,Medium,1
7961,0.59,25.27,100.36,0.05,10.9,53.98,60.97,5,Non-Leak,0
7962,1171.43,18.92,61.74,2.44,72.57,830.08,43.58,6,Large,1
7963,0.49,25.88,100.14,0.07,9.11,52.15,60.95,7,Non-Leak,0
7964,190.12,22.73,83.68,0.7,30.63,322.79,55.58,8,Small,1
7965,0.59,25.58,100.72,0.07,10.33,53.4,60.75,9,Non-Leak,0
7966,709.23,21.16,77.58,1.65,50.79,632.49,52.87,10,Medium,1
7967,0.72,25.04,100.88,0.05,10.19,57.45,60.9,11,Non-Leak,0
7968,1168.22,18.57,60.33,2.32,74.17,843.71,44.48,12,Large,1
7969,0.67,25.54,100.15,0.07,10.79,59.72,60.78,1,Non-Leak,0
7970,181.2,22.97,84.75,0.74,33.41,319.52,55.18,2,Small,1
7971,0.5,25.01,100.63,0.04,9.37,55.14,60.75,3,Non-Leak,0
7972,654.99,20.73,77.82,1.51,50.03,615.41,52.16,4,Medium,1
7973,0.63,25.65,100.81,0.06,10.04,52.2,60.86,5,Non-Leak,0
7974,1025.89,18.76,61.93,2.44,75.2,794.71,44.53,6,Large,1
7975,0.77,25.01,100.86,0.05,10.23,51.9,60.94,7,Non-Leak,0
7976,187.7,22.68,84.67,0.89,32.1,353.97,55.51,8,Small,1
7977,0.6,25.39,100.39,0.04,9.61,56.59,61.0,9,Non-Leak,0
7978,665.3,20.77,75.02,1.68,50.5,638.2,52.08,10,Medium,1
7979,0.89,25.04,100.69,0.04,10.56,54.03,60.9,11,Non-Leak,0
7980,1078.73,18.14,60.89,2.4,74.62,773.19,45.39,12,Large,1
7981,0.71,25.13,100.43,0.07,9.09,51.44,60.95,1,Non-Leak,0
7982,199.17,22.52,83.8,0.88,30.51,332.13,54.24,2,Small,1
7983,0.71,24.7,100.71,0.06,10.63,53.52,60.82,3,Non-Leak,0
7984,656.25,21.2,75.08,1.77,51.07,633.88,53.19,4,Medium,1
7985,0.64,25.07,100.5,0.03,10.62,52.46,60.85,5,Non-Leak,0
7986,1057.63,18.16,59.56,2.56,75.75,807.21,43.73,6,Large,1
7987,0.87,24.95,100.54,0.06,9.14,50.81,60.83,7,Non-Leak,0
7988,173.36,22.33,84.53,0.89,30.48,325.72,54.8,8,Small,1
7989,0.4,25.17,100.66,0.05,9.58,55.14,60.82,9,Non-Leak,0
7990,664.67,21.23,77.41,1.66,50.17,623.5,52.58,10,Medium,1
7991,0.76,25.26,100.57,0.04,9.0,54.88,61.08,11,Non-Leak,0
7992,1016.62,18.56,60.65,2.46,74.25,778.41,44.02,12,Large,1
7993,0.32,25.85,100.68,0.05,10.11,50.13,61.1,1,Non-Leak,0
7994,152.35,22.61,84.66,0.87,34.02,315.65,54.52,2,Small,1
7995,0.51,25.32,100.87,0.07,10.06,50.27,60.71,3,Non-Leak,0
7996,683.8,21.26,75.03,1.54,51.51,625.37,53.29,4,Medium,1
7997,0.3,24.88,100.83,0.05,10.53,56.94,60.95,5,Non-Leak,0
7998,1178.22,19.41,60.96,2.7,75.55,839.48,44.37,6,Large,1
7999,0.84,25.63,100.76,0.06,9.48,51.84,60.75,7,Non-Leak,0
8000,183.85,22.39,83.4,0.83,32.5,332.05,54.75,8,Small,1
8001,0.63,25.41,100.03,0.04,10.57,57.22,61.0,9,Non-Leak,0
8002,693.59,20.87,75.16,1.75,50.82,616.16,52.98,10,Medium,1
8003,0.55,25.41,100.98,0.03,10.19,59.84,60.96,11,Non-Leak,0
8004,1111.45,18.72,60.25,2.53,72.88,849.87,43.83,12,Large,1
8005,0.45,25.42,100.26,0.03,9.59,57.05,61.02,1,Non-Leak,0
8006,175.76,22.81,84.44,0.83,30.93,326.19,55.86,2,Small,1
8007,0.85,24.89,100.08,0.06,10.14,50.38,60.73,3,Non-Leak,0
8008,676.92,21.51,77.09,1.54,50.95,601.75,52.12,4,Medium,1
8009,0.33,25.0,100.69,0.04,10.43,55.44,61.05,5,Non-Leak,0
8010,1054.47,19.21,59.62,2.74,75.42,828.13,45.77,6,Large,1
8011,0.41,25.76,100.87,0.03,9.37,58.14,60.91,7,Non-Leak,0
8012,193.86,22.2,84.0,0.74,32.84,319.29,55.45,8,Small,1
8013,0.36,25.89,100.21,0.04,10.31,56.3,60.9,9,Non-Leak,0
8014,687.25,20.8,75.87,1.69,51.33,607.39,52.54,10,Medium,1
8015,0.83,25.86,100.42,0.05,10.66,54.2,61.03,11,Non-Leak,0
8016,1164.54,19.03,60.37,2.52,75.84,848.94,45.94,12,Large,1
8017,0.72,25.19,100.23,0.05,9.06,54.01,60.98,1,Non-Leak,0
8018,153.28,22.4,84.44,0.79,31.18,356.59,55.64,2,Small,1
8019,0.89,25.72,100.23,0.07,10.73,56.11,60.89,3,Non-Leak,0
8020,692.83,21.22,75.58,1.74,51.54,625.67,53.22,4,Medium,1
8021,0.45,24.92,100.93,0.06,10.43,50.48,61.08,5,Non-Leak,0
8022,1176.52,18.62,59.03,2.48,73.17,770.11,45.48,6,Large,1
8023,0.63,25.52,100.64,0.05,10.63,50.84,60.76,7,Non-Leak,0
8024,181.04,22.87,84.51,0.75,32.16,349.95,55.16,8,Small,1
8025,0.77,25.25,100.75,0.03,9.83,56.65,60.83,9,Non-Leak,0
8026,699.13,21.33,77.39,1.76,50.79,648.38,52.6,10,Medium,1
8027,0.67,24.92,100.64,0.03,10.04,53.22,60.98,11,Non-Leak,0
8028,1042.28,18.23,61.49,2.41,73.66,807.34,43.61,12,Large,1
8029,0.31,25.04,100.91,0.05,9.24,53.1,60.78,1,Non-Leak,0
8030,198.68,22.69,84.54,0.88,32.34,356.01,55.1,2,Small,1
8031,0.43,25.88,100.72,0.04,9.68,58.86,61.02,3,Non-Leak,0
8032,660.13,21.38,76.06,1.8,51.39,649.98,52.69,4,Medium,1
8033,0.67,25.86,100.46,0.06,9.68,51.79,60.79,5,Non-Leak,0
8034,1014.81,18.18,61.21,2.74,74.69,835.64,45.77,6,Large,1
8035,0.58,25.33,100.63,0.04,9.98,52.71,60.91,7,Non-Leak,0
8036,193.86,22.83,83.18,0.89,33.16,356.73,54.77,8,Small,1
8037,0.35,25.34,100.02,0.06,9.32,56.82,60.86,9,Non-Leak,0
8038,657.18,21.6,76.96,1.66,51.62,606.25,52.98,10,Medium,1
8039,0.55,24.9,100.18,0.06,9.34,59.1,60.91,11,Non-Leak,0
8040,1011.45,19.71,60.21,2.64,74.16,837.2,45.34,12,Large,1
8041,0.68,25.12,100.84,0.06,9.66,54.47,60.74,1,Non-Leak,0
8042,169.91,22.21,83.14,0.73,30.16,353.96,54.6,2,Small,1
8043,0.79,25.47,100.91,0.07,9.92,51.62,60.92,3,Non-Leak,0
8044,677.05,21.17,77.74,1.58,52.0,643.53,52.8,4,Medium,1
8045,0.9,25.53,100.77,0.07,9.76,58.63,61.04,5,Non-Leak,0
8046,1048.99,19.26,61.5,2.47,74.58,787.08,45.05,6,Large,1
8047,0.57,24.71,100.3,0.04,10.71,59.76,60.97,7,Non-Leak,0
8048,182.1,22.98,84.07,0.8,32.72,353.35,54.61,8,Small,1
8049,0.89,25.84,100.76,0.06,9.39,54.9,60.74,9,Non-Leak,0
8050,669.57,21.51,76.02,1.56,51.99,632.15,52.48,10,Medium,1
8051,0.51,24.9,100.82,0.06,9.9,52.93,60.95,11,Non-Leak,0
8052,1047.25,18.69,59.32,2.38,74.66,833.32,45.55,12,Large,1
8053,0.44,25.08,100.29,0.04,9.18,52.81,61.06,1,Non-Leak,0
8054,152.03,22.84,84.7,0.88,33.62,336.43,55.79,2,Small,1
8055,0.85,25.77,100.01,0.07,10.16,59.63,60.89,3,Non-Leak,0
8056,666.72,21.37,77.1,1.61,50.34,639.15,52.08,4,Medium,1
8057,0.37,25.59,100.25,0.04,10.28,57.77,60.78,5,Non-Leak,0
8058,1089.35,18.3,59.42,2.67,75.33,846.43,44.98,6,Large,1
8059,0.32,25.52,100.69,0.04,10.56,51.28,60.98,7,Non-Leak,0
8060,185.7,22.35,84.38,0.88,31.81,349.19,54.48,8,Small,1
8061,0.69,25.23,100.06,0.05,9.75,50.98,60.81,9,Non-Leak,0
8062,652.89,21.39,75.62,1.8,50.2,627.89,53.42,10,Medium,1
8063,0.85,25.16,100.35,0.05,10.13,55.75,61.08,11,Non-Leak,0
8064,1026.39,18.83,61.21,2.4,74.55,846.92,45.64,12,Large,1
8065,0.76,24.9,100.45,0.05,9.19,59.06,60.89,1,Non-Leak,0
8066,161.63,22.29,84.26,0.7,34.16,329.14,55.62,2,Small,1
8067,0.48,25.17,100.94,0.04,10.9,50.05,60.95,3,Non-Leak,0
8068,686.73,21.1,77.17,1.68,51.5,620.92,52.28,4,Medium,1
8069,0.46,25.45,100.75,0.05,10.27,50.7,60.96,5,Non-Leak,0
8070,1010.45,18.31,59.76,2.68,73.74,786.31,45.56,6,Large,1
8071,0.84,25.58,100.62,0.05,10.78,50.22,60.75,7,Non-Leak,0
8072,152.03,22.91,83.75,0.71,30.22,322.58,54.21,8,Small,1
8073,0.66,25.66,100.38,0.07,10.27,52.52,61.03,9,Non-Leak,0
8074,696.26,21.1,77.25,1.77,50.76,644.15,52.27,10,Medium,1
8075,0.81,25.24,100.34,0.06,9.88,59.26,61.0,11,Non-Leak,0
8076,1159.42,18.3,59.87,2.35,75.84,806.14,45.36,12,Large,1
8077,0.54,24.74,100.9,0.06,9.44,58.5,60.82,1,Non-Leak,0
8078,187.05,22.96,83.49,0.71,33.78,319.26,54.64,2,Small,1
8079,0.54,25.46,100.68,0.06,10.94,51.79,60.79,3,Non-Leak,0
8080,680.7,21.56,77.45,1.77,51.72,600.03,52.78,4,Medium,1
8081,0.52,25.24,100.25,0.05,10.58,52.35,60.91,5,Non-Leak,0
8082,1047.56,19.27,60.06,2.33,75.86,786.06,45.93,6,Large,1
8083,0.61,25.19,100.67,0.04,10.89,55.25,60.88,7,Non-Leak,0
8084,168.39,22.78,83.74,0.79,34.25,347.63,55.4,8,Small,1
8085,0.5,24.8,100.15,0.07,10.3,51.49,61.0,9,Non-Leak,0
8086,654.32,21.41,76.97,1.61,50.15,604.5,52.4,10,Medium,1
8087,0.6,25.85,100.37,0.03,9.9,50.18,60.73,11,Non-Leak,0
8088,1186.19,18.48,61.64,2.64,73.95,774.77,45.41,12,Large,1
